Pre-scan folder lookup dari '03_photos_export'...
  743 unique identifiers, 819 folder.
  [OK] BTP JAK\SINYAL\B212 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B213 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\B214 BOO-CLT/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP JAK\SINYAL\J10 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP BD\SINYAL\J10 BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\J10 CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP BD\SINYAL\J12A BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\J12A CLT/date.txt -> Senin, Jan 13 2025 (filename)
  [OK] BTP BD\SINYAL\J12B BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\J12B CLT/date.txt -> Senin, Jan 13 2025 (filename)
  [OK] BTP BD\SINYAL\J14 BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\J14 CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\J20 BOO/date.txt -> Selasa, Jan 07 2025 (filename)
  [OK] BTP BD\SINYAL\J20 BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP JAK\SINYAL\J20 CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [MISS] PERAWATAN SINYAL J22 CLT 13-01-2025.pdf -> cat=SINYAL id=J22 CLT date=Senin, Jan 13 2025 -- folder tidak ditemukan
  [OK] BTP BD\SINYAL\J22A BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP BD\SINYAL\J22B BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [OK] BTP BD\SINYAL\J24 BTT/date.txt -> Rabu, Jan 22 2025 (filename)
  [MISS] PERAWATAN SINYAL J24 CLT 13-01-2025.pdf -> cat=SINYAL id=J24 CLT date=Senin, Jan 13 2025 -- folder tidak ditemukan
